Category,Product Name,Product Price,product URL,Product Features
Mobile,"2021 Newest HP 15.6 HD Laptop for Business and Student, WLED-Backlit Display, AMD Ryzen 3 3250U(Up to 3.5GHz), 16GB RAM, 1TB HDD+128GB SSD, Ethernet, WiFi, Fast Charge, Webcam, HDMI, w/GM Accessories",$639.00,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05227782NSMNFIU199GG&url=%2FHP-Business-WLED-Backlit-Ethernet-Accessories%2Fdp%2FB08Z36VFM9%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptop%26qid%3D1619546647%26sr%3D8-1-spons%26psc%3D1&qualifier=1619546647&id=6979541131164405&widgetName=sp_atf,"{'Brand': 'HP', 'Operating System': 'Windows 10', 'CPU Manufacturer': 'AMD', 'Screen Size': '15.6 Inches', 'Computer Memory Size': '16 GB', 'ASIN': 'B08Z36VFM9', 'Customer Reviews': '4.7 out of 5 stars\n\n\n\n\n\n\n\n\n22 ratings\n\n\n\n\n\n\n4.7 out of 5 stars', 'Best Sellers Rank': '#992 in Computers & Accessories (See Top 100 in Computers & Accessories)\n\n#98 in Traditional Laptop Computers', 'Date First Available': 'March 10, 2021'}"
Mobile,"HP Laptop, 15.6"" HD Touchscreen, AMD Athlon Gold 3150U Processor up to 3.3 GHz, 8GB DDR4 Memory, 128GB PCIe SSD, Webcam, Wireless-AC, Bluetooth, Type-C, HDMI, Windows 10, Silver, KKE Mousepad",$519.00,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06097181A6JFM6U1ASIH&url=%2FHP-Touchscreen-Processor-Wireless-AC-Bluetooth%2Fdp%2FB08DBHS916%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptop%26qid%3D1619546647%26sr%3D8-2-spons%26psc%3D1%26smid%3DA3QR4864ATM9Z9&qualifier=1619546647&id=6979541131164405&widgetName=sp_atf,"{'Brand': 'HP', 'Operating System': 'Windows 10', 'CPU Manufacturer': 'AMD', 'Screen Size': '15.6 Inches', 'Computer Memory Size': '32 GB', 'ASIN': 'B08DBHS916', 'Customer Reviews': '4.5 out of 5 stars\n\n\n\n\n\n\n\n\n52 ratings\n\n\n\n\n\n\n4.5 out of 5 stars', 'Best Sellers Rank': '#29,250 in Electronics (See Top 100 in Electronics)\n\n#2,394 in Computers & Tablets', 'Date First Available': 'July 20, 2020'}"
Mobile,"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",$649.99,https://www.amazon.com//HP-i5-1135G7-Processor-Lightweight-15-dy2021nr/dp/B08KGZ79N6/ref=sr_1_3?dchild=1&keywords=HP+Laptop&qid=1619546647&sr=8-3,"{'Brand': 'HP', 'Operating System': 'Windows 10 Home', 'CPU Manufacturer': 'Intel', 'Screen Size': '15.6 Inches', 'Computer Memory Size': '8 GB', 'ASIN': 'B08KGZ79N6', 'Customer Reviews': '4.4 out of 5 stars\n\n\n\n\n\n\n\n\n377 ratings\n\n\n\n\n\n\n4.4 out of 5 stars', 'Best Sellers Rank': '#157 in Computers & Accessories (See Top 100 in Computers & Accessories)\n\n#14 in Traditional Laptop Computers', 'Date First Available': 'October 23, 2020'}"
Mobile,HP Stream 14-cb Laptop Intel Celeron 4GB RAM 64GB eMMC 14-inch HD WLED Office 365 Personal 1-Year Win 10 s,$295.98,https://www.amazon.com//HP-Stream-Celeron-14-inch-Personal/dp/B08LDBDRV6/ref=sr_1_4?dchild=1&keywords=HP+Laptop&qid=1619546647&sr=8-4,"{'Brand': 'HP', 'Operating System': 'Windows 10', 'CPU Manufacturer': 'Intel', 'Screen Size': '14 Inches', 'Computer Memory Size': '4 GB', 'ASIN': 'B08LDBDRV6', 'Customer Reviews': '4.8 out of 5 stars\n\n\n\n\n\n\n\n\n39 ratings\n\n\n\n\n\n\n4.8 out of 5 stars', 'Best Sellers Rank': '#166 in Computers & Accessories (See Top 100 in Computers & Accessories)\n\n#15 in Traditional Laptop Computers', 'Date First Available': 'October 19, 2020'}"
Mobile,"2021 HP 14"" HD Slim and Light Laptop, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC, Webcam, HDMI, Windows 10 S, 1 Year Office 365 /IFT Accessories (Google Classroom or Zoom Compatible) White",$358.90,https://www.amazon.com//HP-Processor-Accessories-Classroom-Compatible/dp/B08QGQC9TW/ref=sr_1_5?dchild=1&keywords=HP+Laptop&qid=1619546647&sr=8-5,"{'Brand': 'HP', 'Operating System': 'Windows 10 S', 'CPU Manufacturer': 'Intel', 'Screen Size': '14 Inches', 'Computer Memory Size': '4 GB', 'ASIN': 'B08QGQC9TW', 'Customer Reviews': '4.4 out of 5 stars\n\n\n\n\n\n\n\n\n13 ratings\n\n\n\n\n\n\n4.4 out of 5 stars', 'Best Sellers Rank': '#799 in Computers & Accessories (See Top 100 in Computers & Accessories)\n\n#75 in Traditional Laptop Computers', 'Date First Available': 'December 13, 2020'}"
Mobile,"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb185nr, Royal Blue)",$293.00,https://www.amazon.com//HP-14-inch-Celeron-Personal-14-cb185nr/dp/B084SKWC89/ref=sr_1_6?dchild=1&keywords=HP+Laptop&qid=1619546647&sr=8-6,"{'Brand': 'HP', 'Operating System': 'Windows 10 Home', 'CPU Manufacturer': 'Intel', 'Screen Size': '14 Inches', 'Computer Memory Size': '4 GB', 'ASIN': 'B084SKWC89', 'Customer Reviews': '4.5 out of 5 stars\n\n\n\n\n\n\n\n\n3,049 ratings\n\n\n\n\n\n\n4.5 out of 5 stars', 'Best Sellers Rank': '#650 in Computers & Accessories (See Top 100 in Computers & Accessories)\n\n#59 in Traditional Laptop Computers', 'Date First Available': 'March 1, 2020'}"
Mobile,"2020 Newest HP 15.6"" HD Touchscreen Laptop Computer,Intel 10th Gen Core i3-1005G1(Up to 3.4GHz, Beat i5-7200U), 16GB RAM, 512GB SSD, Intel UHD Graphics, USB-A&C, Webcam, HDMI, WiFi, w/GM Accessories",$639.00,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09456192A2IUU6ONRY63&url=%2FHP-Touchscreen-Computer-i3-1005G1-Accessories%2Fdp%2FB08B3WSH79%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptop%26qid%3D1619546647%26sr%3D8-7-spons%26psc%3D1&qualifier=1619546647&id=6979541131164405&widgetName=sp_mtf,"{'Brand': 'HP', 'Operating System': 'Windows 10', 'CPU Manufacturer': 'Intel', 'Screen Size': '15.6 Inches', 'Computer Memory Size': '16 GB', 'ASIN': 'B08B3WSH79', 'Customer Reviews': '4.4 out of 5 stars\n\n\n\n\n\n\n\n\n76 ratings\n\n\n\n\n\n\n4.4 out of 5 stars', 'Best Sellers Rank': '#4,407 in Computers & Accessories (See Top 100 in Computers & Accessories)\n\n#486 in Traditional Laptop Computers', 'Date First Available': 'June 12, 2020'}"
Mobile,"2020 HP 15.6"" HD LED Display Laptop, Intel Pentium Gold 6405U Processor, 4GB DDR4 RAM, 128GB SSD, HDMI, Webcam, WI-FI, Windows 10 S, Scarlet Red",$379.95,https://www.amazon.com//HP-Display-Pentium-Processor-Windows/dp/B08HHT31TS/ref=sr_1_8?dchild=1&keywords=HP+Laptop&qid=1619546647&sr=8-8,"{'Brand': 'HP', 'Operating System': 'Windows 10', 'CPU Manufacturer': 'Intel', 'Screen Size': '15.6 Inches', 'Computer Memory Size': '4 GB', 'ASIN': 'B08HHT31TS', 'Customer Reviews': '4.6 out of 5 stars\n\n\n\n\n\n\n\n\n563 ratings\n\n\n\n\n\n\n4.6 out of 5 stars', 'Best Sellers Rank': '#400 in Computers & Accessories (See Top 100 in Computers & Accessories)\n\n#40 in Traditional Laptop Computers', 'Date First Available': 'September 6, 2020'}"
Mobile,"2021 HP Stream 14"" HD Thin and Light Laptop, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC, HDMI, Webcam, WiFi, Bluetooth, 1 Year Microsoft 365, Windows 10 S, Rose Pink, W/ IFT Accessories",$408.98,https://www.amazon.com//HP-Processor-Bluetooth-Microsoft-Accessories/dp/B08QXJM323/ref=sr_1_10?dchild=1&keywords=HP+Laptop&qid=1619546647&sr=8-10,"{'Brand': 'HP', 'Operating System': 'Windows 10 S', 'CPU Manufacturer': 'Intel', 'Screen Size': '14 Inches', 'Computer Memory Size': '4 GB', 'ASIN': 'B08QXJM323', 'Customer Reviews': '4.7 out of 5 stars\n\n\n\n\n\n\n\n\n97 ratings\n\n\n\n\n\n\n4.7 out of 5 stars', 'Best Sellers Rank': '#578 in Computers & Accessories (See Top 100 in Computers & Accessories)\n\n#54 in Traditional Laptop Computers', 'Date First Available': 'December 17, 2020'}"
Mobile,"HP Pavilion 15 Laptop, 11th Gen Intel Core i7-1165G7 Processor, 16 GB RAM, 512 GB SSD Storage, Full HD IPS Micro-Edge Display, Windows 10 Pro, Compact Design, Long Battery Life (15-eg0021nr, 2020)","$1,198.00",https://www.amazon.com//HP-i7-1165G7-Processor-Micro-Edge-15-eg0021nr/dp/B08KGYDR16/ref=sr_1_11?dchild=1&keywords=HP+Laptop&qid=1619546647&sr=8-11,"{'Brand': 'HP', 'Operating System': 'Windows 10 Pro', 'CPU Manufacturer': 'Intel', 'Screen Size': '15.6 Inches', 'Computer Memory Size': '16 GB', 'ASIN': 'B08KGYDR16', 'Customer Reviews': '4.5 out of 5 stars\n\n\n\n\n\n\n\n\n977 ratings\n\n\n\n\n\n\n4.5 out of 5 stars', 'Best Sellers Rank': '#417 in Computers & Accessories (See Top 100 in Computers & Accessories)\n\n#43 in Traditional Laptop Computers', 'Date First Available': 'October 23, 2020'}"
