Category,Product Name,Product Price,product URL,Product Features,Ratings,Total Reviews
Mobile,Samsung Galaxy Tab A7 10.4 Wi-Fi 32GB Silver (SM-T500NZSAXAR),$229.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A077914818VL3NQPRBXMR&url=%2FSamsung-Galaxy-Wi-Fi-Silver-SM-T500NZSAXAR%2Fdp%2FB08GHVSGMQ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BTablet%26qid%3D1619351839%26sr%3D8-2-spons%26psc%3D1&qualifier=1619351839&id=1671948461493996&widgetName=sp_atf,"{'Screen Size': '10.4 Inches', 'Brand': 'Samsung Electronics', 'Series': 'A7 Tablet 10.4 Wi-Fi', 'Memory Storage Capacity': '32 GB', 'Item Dimensions LxWxH': '0.28 x 6.2 x 9.75 inches', 'ASIN': 'B08GHVSGMQ', 'Customer Reviews': '4.7 out of 5 stars\n\n\n\n\n\n\n\n\n8,389 ratings\n\n\n\n\n\n\n4.7 out of 5 stars', 'Best Sellers Rank': '#348 in Electronics (See Top 100 in Electronics)\n\n#23 in Computer Tablets', 'Date First Available': 'October 8, 2020'}",4.7 out of 5 stars,8389
Mobile,"Samsung Galaxy Tab A 8.0"" (2019, WiFi Only) 32GB, 5100mAh Battery, Dual Speaker, SM-T290, International Model (Black)",$122.89,https://www.amazon.com//Samsung-5100mAh-Battery-SM-T290-International/dp/B07XJZ7VQD/ref=sr_1_4?dchild=1&keywords=Samsung+Tablet&qid=1619351839&sr=8-4,"{'Screen Size': '8 Inches', 'Brand': 'SAMSUNG', 'Series': 'T290', 'Memory Storage Capacity': '32 GB', 'Item Dimensions LxWxH': '8.3 x 0.3 x 4.9 inches', 'ASIN': 'B07XJZ7VQD', 'Customer Reviews': '4.6 out of 5 stars\n\n\n\n\n\n\n\n\n3,860 ratings\n\n\n\n\n\n\n4.6 out of 5 stars', 'Best Sellers Rank': '#989 in Electronics (See Top 100 in Electronics)\n\n#51 in Computer Tablets', 'Date First Available': 'September 1, 2018'}",4.6 out of 5 stars,3860
Mobile,"Samsung Galaxy Tab A 8.0”, Lightweight Android Tablet with Large Screen Feel, WiFi, Camera, Long-Lasting Battery, 64 GB, Black",$199.99,https://www.amazon.com//Samsung-Lightweight-Android-Long-Lasting-Battery/dp/B08QQTQNDC/ref=sr_1_5?dchild=1&keywords=Samsung+Tablet&qid=1619351839&sr=8-5,"{'Screen Size': '8 Inches', 'Brand': 'Samsung Electronics', 'Series': 'Samsung Galaxy Tab A 8.0”', 'Memory Storage Capacity': '64 GB', 'Item Dimensions LxWxH': '0.31 x 4.9 x 8.27 inches', 'ASIN': 'B08QQTQNDC', 'Customer Reviews': '4.6 out of 5 stars\n\n\n\n\n\n\n\n\n10,950 ratings\n\n\n\n\n\n\n4.6 out of 5 stars', 'Best Sellers Rank': '#1,042 in Electronics (See Top 100 in Electronics)\n\n#54 in Computer Tablets', 'Date First Available': 'January 11, 2021'}",4.6 out of 5 stars,10950
Mobile,"Samsung Galaxy Tab S6 Lite 10.4"", 128GB WiFi Tablet Angora Blue - SM-P610NZBEXAR - S Pen Included",$388.73,https://www.amazon.com//Samsung-Galaxy-128GB-Tablet-Angora/dp/B086Z3J8ZC/ref=sr_1_6?dchild=1&keywords=Samsung+Tablet&qid=1619351839&sr=8-6,"{'Screen Size': '10.4', 'Brand': 'Samsung Electronics', 'Series': 'Samsung Galaxy Tab S6 Lite WiFi', 'Memory Storage Capacity': '128 GB', 'Item Dimensions LxWxH': '0.28 x 6.07 x 9.63 inches', 'ASIN': 'B086Z3J8ZC', 'Customer Reviews': '4.8 out of 5 stars\n\n\n\n\n\n\n\n\n481 ratings\n\n\n\n\n\n\n4.8 out of 5 stars', 'Best Sellers Rank': '#3,772 in Electronics (See Top 100 in Electronics)\n\n#159 in Computer Tablets', 'Date First Available': 'May 29, 2020'}",4.8 out of 5 stars,481
Mobile,"Samsung Galaxy Tab A 8.0"" (2019, WiFi + Cellular) 32GB, 5100mAh Battery, 4G LTE Tablet & Phone (Makes Calls) GSM Unlocked SM-T295, International Model (32 GB, Black)",$142.99,https://www.amazon.com//Samsung-Cellular-Unlocked-SM-T295-International/dp/B07XC3CW4G/ref=sr_1_9?dchild=1&keywords=Samsung+Tablet&qid=1619351839&sr=8-9,"{'Screen Size': '8 Inches', 'Brand': 'Samsung Electronics', 'Series': 'SM-T295', 'Memory Storage Capacity': '32 GB', 'Item Dimensions LxWxH': '8.3 x 0.3 x 4.9 inches', 'ASIN': 'B07XC3CW4G', 'Customer Reviews': '4.4 out of 5 stars\n\n\n\n\n\n\n\n\n1,764 ratings\n\n\n\n\n\n\n4.4 out of 5 stars', 'Best Sellers Rank': '#501 in Electronics (See Top 100 in Electronics)\n\n#33 in Computer Tablets', 'Date First Available': 'September 1, 2018'}",4.4 out of 5 stars,1764
Mobile,"Samsung Galaxy Tab A7 10.4"" 64GB with Wi-Fi + 64GB microSD Memory Card (Gray)",$254.79,https://www.amazon.com//Samsung-Galaxy-Wi-Fi-microSD-Memory/dp/B08NMW6V9Q/ref=sr_1_11?dchild=1&keywords=Samsung+Tablet&qid=1619351839&sr=8-11,"{'Screen Size': '10.4 Inches', 'Brand': 'SAMSUNG', 'Memory Storage Capacity': '64 GB', 'Item Dimensions LxWxH': '10 x 8 x 1.5 inches', 'Color': 'Dark Gray', 'Product Dimensions': '10 x 8 x 1.5 inches', 'Item Weight': '1.74 pounds', 'Manufacturer': 'Samsung', 'ASIN': 'B08NMW6V9Q', 'Batteries': '1 Lithium Polymer batteries required.', 'Customer Reviews': '4.7 out of 5 stars\n\n\n\n\n\n\n\n\n226 ratings\n\n\n\n\n\n\n4.7 out of 5 stars', 'Best Sellers Rank': '#4,524 in Electronics (See Top 100 in Electronics)\n\n#195 in Computer Tablets', 'Date First Available': 'November 16, 2020'}",4.7 out of 5 stars,226
Mobile,"Samsung Galaxy Tab S6 Lite 10.4"", 64GB Wi-Fi Tablet Oxford Gray - SM-P610NZAAXAR - S Pen Included",$316.74,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09403863RA5M3943O7RK&url=%2FSamsung-Galaxy-Lite-Tablet-Oxford%2Fdp%2FB086Z2XFYP%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BTablet%26qid%3D1619351839%26sr%3D8-12-spons%26psc%3D1&qualifier=1619351839&id=1671948461493996&widgetName=sp_mtf,"{'Screen Size': '10.4', 'Brand': 'Samsung Electronics', 'Series': 'Samsung Galaxy Tab S6 Lite WiFi', 'Memory Storage Capacity': '64 GB', 'Item Dimensions LxWxH': '0.28 x 6.07 x 9.63 inches', 'ASIN': 'B086Z2XFYP', 'Customer Reviews': '4.8 out of 5 stars\n\n\n\n\n\n\n\n\n3,340 ratings\n\n\n\n\n\n\n4.8 out of 5 stars', 'Best Sellers Rank': '#834 in Electronics (See Top 100 in Electronics)\n\n#47 in Computer Tablets', 'Date First Available': 'May 23, 2020'}",4.8 out of 5 stars,3340
Mobile,"SAMSUNG Galaxy Tab A- 10.1"" 64GB, Wifi Tablet- SM-T510NZKFXAR Black",$277.00,https://www.amazon.com//Samsung-Galaxy-10-1-Tablet-Black/dp/B07Q3T1YJS/ref=sr_1_13?dchild=1&keywords=Samsung+Tablet&qid=1619351839&sr=8-13,"{'Screen Size': '10.1 Inches', 'Brand': 'Samsung Electronics', 'Series': 'Galaxy Tab A 10.1” (T510)', 'Memory Storage Capacity': '64 GB', 'Item Dimensions LxWxH': '0.3 x 5.88 x 9.65 inches', 'ASIN': 'B07Q3T1YJS', 'Customer Reviews': '4.7 out of 5 stars\n\n\n\n\n\n\n\n\n15,324 ratings\n\n\n\n\n\n\n4.7 out of 5 stars', 'Best Sellers Rank': '#2,397 in Electronics (See Top 100 in Electronics)\n\n#110 in Computer Tablets', 'Date First Available': 'April 26, 2019'}",4.7 out of 5 stars,15324
Mobile,"Samsung Galaxy Tab A 10.1"" (2019, WiFi + Cellular) Full HD Corner-to-Corner Display, 32GB 4G LTE Tablet & Phone (Makes Calls) GSM Unlocked SM-T515, International Model (32 GB, Black)",$235.96,https://www.amazon.com//Samsung-Cellular-Unlocked-SM-T515-International/dp/B07TV96YB6/ref=sr_1_14?dchild=1&keywords=Samsung+Tablet&qid=1619351839&sr=8-14,"{'Screen Size': '10.1 Inches', 'Brand': 'SAMSUNG', 'Series': 'Galaxy Tab A', 'Memory Storage Capacity': '32 GB', 'Item Dimensions LxWxH': '8.3 x 0.3 x 4.9 inches', 'ASIN': 'B07TV96YB6', 'Customer Reviews': '4.5 out of 5 stars\n\n\n\n\n\n\n\n\n2,112 ratings\n\n\n\n\n\n\n4.5 out of 5 stars', 'Best Sellers Rank': '#2,627 in Electronics (See Top 100 in Electronics)\n\n#124 in Computer Tablets', 'Date First Available': 'September 1, 2018'}",4.5 out of 5 stars,2112
Mobile,"Samsung Galaxy Tab A7 10.4"" 2020 (64GB, 3GB) Wi-Fi Only Android 10 One UI Tablet, Snapdragon 662, 7040mAh Battery, SM-T500 (64GB SD Bundle, Dark Gray)",$259.99,https://www.amazon.com//Samsung-Galaxy-Tab-A7-Snapdragon/dp/B08P3Z1FJV/ref=sr_1_15?dchild=1&keywords=Samsung+Tablet&qid=1619351839&sr=8-15,"{'Screen Size': '10.4 Inches', 'Brand': 'SAMSUNG', 'Memory Storage Capacity': '64 GB', 'Item Dimensions LxWxH': '10 x 8 x 1.5 inches', 'Wireless Communication Technology': 'Wi-Fi', 'ASIN': 'B08P3Z1FJV', 'Customer Reviews': '4.6 out of 5 stars\n\n\n\n\n\n\n\n\n200 ratings\n\n\n\n\n\n\n4.6 out of 5 stars', 'Best Sellers Rank': '#6,668 in Electronics (See Top 100 in Electronics)\n\n#276 in Computer Tablets', 'Date First Available': 'January 1, 2020'}",4.6 out of 5 stars,200
