Category,Product Name,Product Price,product URL,Product Features,Ratings,Total Reviews
Mobile,"Portable Charger 26800mAh LCD Digital Display Power Bank Huge Capacity External Battery Pack 2 Output Port Cell Phone Charger for iPhone, Samsung Galaxy, Android Phone,Tablet & etc",$19.08,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06056773TB5WP93TUY94&url=%2FPortable-Charger-26800mAh-Capacity-External%2Fdp%2FB081SPFH53%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DAnker%2Bpower%2Bbank%26qid%3D1619353386%26sr%3D8-1-spons%26psc%3D1&qualifier=1619353386&id=8732847012677326&widgetName=sp_atf,"{'Number of Batteries': '1 Lithium Polymer batteries required. (included)', 'Brand': 'HHETP', 'Voltage': '5 Volts', 'Battery Weight': '340 Grams', 'Compatible Devices': 'Ipad, Mobile Phones, Tablet', 'Item Dimensions LxWxH': '0.72 x 2.95 x 5.94 inches', 'Reusability': 'Rechargeable', 'Item Weight': '12 ounces', 'Battery Cell Composition': 'Lithium Polymer', 'Battery Capacity': '26800 Milliamp Hours', 'Product Dimensions': '0.72 x 2.95 x 5.94 inches', 'ASIN': 'B081SPFH53', 'Item model number': 'HX160Y4', 'Batteries': '1 Lithium Polymer batteries required. (included)', 'Customer Reviews': '4.6 out of 5 stars\n\n\n\n\n\n\n\n\n2,129 ratings\n\n\n\n\n\n\n4.6 out of 5 stars', 'Best Sellers Rank': '#2,183 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)\n\n#69 in Cell Phone Replacement Batteries\n\n#69 in Cell Phone Portable Power Banks', 'Other display features': 'Speakers', 'Manufacturer': 'Dongguan Haoxun Electronic Technology Co.,Ltd.', 'Date First Available': 'November 20, 2019'}",4.6 out of 5 stars,2129
Mobile,"Portable Charger Power Bank [25800mAh Newest Version] Ultra Compact External Battery Pack with Colorful Indicator, 2 USB Ports Quick Charging Portable Phone Charger for iPhone Samsung Android Tablet",$18.95,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A104776634YMSN1134S5U&url=%2FPortable-25800mAh-External-Colorful-Indicator%2Fdp%2FB085BGNQXR%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DAnker%2Bpower%2Bbank%26qid%3D1619353386%26sr%3D8-2-spons%26psc%3D1&qualifier=1619353386&id=8732847012677326&widgetName=sp_atf,"{'Color': 'Black', 'Brand': 'HHETP', 'Connector Type': 'Usb, Micro usb', 'Voltage': '5 Volts', 'Battery Capacity': '26800 Milliamp Hours', 'Battery Cell Composition': 'Lithium Polymer', 'Item Weight': '12 ounces', 'Charging Time': '14 Hours', 'Number of Ports': '2', 'Package Dimensions': '6.61 x 4.06 x 1.02 inches', 'ASIN': 'B085BGNQXR', 'Item model number': 'HX160Y7', 'Batteries': '1 Lithium Polymer batteries required. (included)', 'Customer Reviews': '4.3 out of 5 stars\n\n\n\n\n\n\n\n\n90 ratings\n\n\n\n\n\n\n4.3 out of 5 stars', 'Best Sellers Rank': '#69,913 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)\n\n#886 in Cell Phone Portable Power Banks\n\n#1,696 in Cell Phone Replacement Batteries', 'Other display features': 'Wireless', 'Colour': 'Black', 'Manufacturer': 'Dongguan Haoxun Electronic Technology Co.,Ltd.', 'Date First Available': 'March 25, 2020'}",4.3 out of 5 stars,90
Mobile,"Anker USB-C Portable Charger, 18W PowerCore Slim 10000 PD, 10000mAh Power Delivery Power Bank for iPhone 12/Mini/X/XR/XS Max, S10, Pixel 3/3XL, iPad Pro 2018, and More (Charger Not Included)",$27.99,https://www.amazon.com//Anker-PowerCore-Portable-10000mAh-Delivery/dp/B082WD5TY8/ref=sr_1_3?dchild=1&keywords=Anker+power+bank&qid=1619353386&sr=8-3,"{'Product Dimensions': '5.89 x 2.7 x 0.57 inches', 'Item Weight': '7.5 ounces', 'ASIN': 'B082WD5TY8', 'Item model number': 'A1231', 'Batteries': '1 Lithium Metal batteries required. (included)', 'Customer Reviews': '4.6 out of 5 stars\n\n\n\n\n\n\n\n\n5,237 ratings\n\n\n\n\n\n\n4.6 out of 5 stars', 'Best Sellers Rank': '#884 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)\n\n#26 in Cell Phone Portable Power Banks\n\n#27 in Cell Phone Replacement Batteries', 'Other display features': 'Wireless', 'Colour': 'Black', 'Included Components': 'Anker 3rd Gen PowerCore+ Mini 3350mAh Portable Charger \u200bExternal Battery Power Bank, 3ft / 0.9m Lightning to USB Cable, Micro USB cable, travel pouch, welcome guide, our fan-favorite 18-month warranty and friendly customer service.', 'Manufacturer': 'Anker', 'Date First Available': 'December 18, 2019'}",4.6 out of 5 stars,5237
Mobile,"Anker Powerhouse 200, 213Wh/57600mAh Portable Rechargeable Generator Clean & Silent 110V AC Outlet/USB-C Power Delivery/USB/12V Car Outlets, for Fast Charging, Camping, Emergencies, CPAP, and More",$259.99,https://www.amazon.com//Anker-Powerhouse-Rechargeable-Generator-Emergencies/dp/B07DDHC5MV/ref=sr_1_5?dchild=1&keywords=Anker+power+bank&qid=1619353386&sr=8-5,"{'Brand': 'Anker', 'Wattage': '100 watts', 'Item Dimensions LxWxH': '7.48 x 5.47 x 4.69 inches', 'Item Weight': '6 pounds', 'Color': 'Black', 'Voltage': '110 Volts', 'Frequency': '60 Hz', 'Product Dimensions': '7.48 x 5.47 x 4.69 inches', 'ASIN': 'B07DDHC5MV', 'Item model number': 'A1702', 'Batteries': '1 Lithium ion batteries required. (included)', 'Customer Reviews': '4.5 out of 5 stars\n\n\n\n\n\n\n\n\n363 ratings\n\n\n\n\n\n\n4.5 out of 5 stars', 'Best Sellers Rank': '#48,736 in Patio, Lawn & Garden (See Top 100 in Patio, Lawn & Garden)\n\n#127 in Outdoor Generators', 'Is Discontinued By Manufacturer': 'No', 'GSM frequencies': '60 Hz', 'Other display features': 'Wireless', 'Colour': 'Black', 'Included Components': 'PowerHouse 200, AC adapter, power cable, welcome guide, our worry-free 18-month warranty, and friendly customer service', 'Manufacturer': 'Anker', 'Date First Available': 'October 6, 2018'}",4.5 out of 5 stars,363
Mobile,"Anker PowerCore III Sense 10K Sun-Kissed Coral, 10000mAh Portable Charger USB-C Power Delivery (18W) Power Bank for iPhone 11/11 Pro / 8 / X/XS, S10, Pixel 3, iPad Pro 2018, and More",$49.99,https://www.amazon.com//Anker-PowerCore-Sun-Kissed-10000mAh-Portable/dp/B07ZFLNFGD/ref=sr_1_7?dchild=1&keywords=Anker+power+bank&qid=1619353386&sr=8-7,"{'Color': 'Pink', 'Brand': 'Anker', 'Connector Type': 'Usb, Micro usb', 'Battery Capacity': '10000 Milliamp Hours', 'Item Dimensions LxWxH': '5.89 x 2.7 x 0.57 inches', 'Battery Cell Composition': 'Lithium', 'Item Weight': '7.5 ounces', 'Number of Ports': '2', 'Product Dimensions': '5.89 x 2.7 x 0.57 inches', 'ASIN': 'B07ZFLNFGD', 'Item model number': 'A1231', 'Batteries': '1 Lithium Polymer batteries required. (included)', 'Customer Reviews': '4.8 out of 5 stars\n\n\n\n\n\n\n\n\n36 ratings\n\n\n\n\n\n\n4.8 out of 5 stars', 'Best Sellers Rank': '#102,469 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)\n\n#1,107 in Cell Phone Portable Power Banks\n\n#2,364 in Cell Phone Replacement Batteries', 'Other display features': 'Wireless', 'Colour': 'Pink', 'Included Components': 'Cable, Battery', 'Manufacturer': 'Anker', 'Date First Available': 'February 21, 2020'}",4.8 out of 5 stars,36
Mobile,"Anker PowerCore Speed 20000, 20000mAh Qualcomm Quick Charge 3.0 & PowerIQ Portable Charger, with Quick Charge Recharging, Power Bank for Samsung, iPhone, iPad and More, Black (A1278)",$49.99,https://www.amazon.com//Anker-PowerCore-20000mAh-Qualcomm-Recharging/dp/B01N0X3NL5/ref=sr_1_8?dchild=1&keywords=Anker+power+bank&qid=1619353386&sr=8-8,"{'Color': 'Black', 'Brand': 'Anker', 'Connector Type': 'Usb', 'Voltage': '5 Volts, 12 Volts', 'Battery Capacity': '20000 Milliamp Hours', 'Item Dimensions LxWxH': '0.67 x 0.24 x 0.08 inches', 'Battery Cell Composition': 'Lithium Ion', 'Item Weight': '13 ounces', 'Number of Ports': '2', 'Product Dimensions': '0.67 x 0.24 x 0.08 inches', 'ASIN': 'B01N0X3NL5', 'Item model number': 'A1278', 'Batteries': '1 Lithium ion batteries required. (included)', 'Customer Reviews': '4.6 out of 5 stars\n\n\n\n\n\n\n\n\n2,681 ratings\n\n\n\n\n\n\n4.6 out of 5 stars', 'Best Sellers Rank': '#16,720 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)\n\n#346 in Cell Phone Portable Power Banks\n\n#438 in Cell Phone Replacement Batteries', 'Is Discontinued By Manufacturer': 'No', 'Other display features': 'Wireless', 'Colour': 'Black', 'Manufacturer': 'Anker', 'Date First Available': 'December 28, 2016'}",4.6 out of 5 stars,2681
Mobile,"Anker PowerCore 13000, Compact 13000mAh 4-Port Ultra-Portable Phone Charger Power Bank with PowerIQ and VoltageBoost Technology for iPhone, iPad, Samsung Galaxy",$39.99,https://www.amazon.com//Anker-PowerCore-Ultra-Portable-VoltageBoost-Technology/dp/B00Z9R26HE/ref=sr_1_9?dchild=1&keywords=Anker+power+bank&qid=1619353386&sr=8-9,"{'Number of Batteries': '1 Lithium ion batteries required.', 'Brand': 'Anker', 'Voltage': '5 Volts', 'Battery Weight': '196 Grams', 'Compatible Devices': 'Galaxy S8, IPhone XR, IPhone XS, IPhone XS Max, IPad, IPhone 5, IPhone 7, IPhone X, IPhone 8, IPod, IPhone 11 Pro, IPhoneGalaxy S8, IPhone XR, IPhone XS, IPhone XS Max, IPad, IPhone 5, IP…\n\nSee more', 'Item Dimensions LxWxH': '1.89 x 6.77 x 5.43 inches', 'Item Weight': '9 ounces', 'Battery Cell Composition': 'Lithium Ion', 'Battery Capacity': '13000 Milliampere Hour (mAh)', 'Product Dimensions': '1.89 x 6.77 x 5.43 inches', 'ASIN': 'B00Z9R26HE', 'Item model number': 'A1215', 'Batteries': '1 Lithium ion batteries required.', 'Customer Reviews': '4.8 out of 5 stars\n\n\n\n\n\n\n\n\n27,003 ratings\n\n\n\n\n\n\n4.8 out of 5 stars', 'Best Sellers Rank': '#477 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)\n\n#14 in Cell Phone Portable Power Banks\n\n#14 in Cell Phone Replacement Batteries', 'Is Discontinued By Manufacturer': 'No', 'Other display features': 'Wireless', 'Colour': 'White', 'Manufacturer': 'Anker', 'Date First Available': 'September 28, 2015'}",4.8 out of 5 stars,27003
Mobile,"Anker PowerCore+ Mini, 3350mAh Lipstick-Sized Portable Charger (Premium Aluminum Power Bank), One of The Most Compact External Batteries, Compatible with iPhone Xs/XR, Android Smartphones and More",$27.99,https://www.amazon.com//Anker-PowerCore-Lipstick-Sized-Compatible-Smartphones/dp/B005X1Y7I2/ref=sr_1_10?dchild=1&keywords=Anker+power+bank&qid=1619353386&sr=8-10,"{'Product Dimensions': '3.74 x 0.91 x 0.91 inches', 'Item Weight': '3 ounces', 'ASIN': 'B005X1Y7I2', 'Item model number': 'A1104', 'Batteries': '1 Lithium ion batteries required. (included)', 'Customer Reviews': '4.3 out of 5 stars\n\n\n\n\n\n\n\n\n22,112 ratings\n\n\n\n\n\n\n4.3 out of 5 stars', 'Best Sellers Rank': '#2,126 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)\n\n#67 in Cell Phone Portable Power Banks\n\n#67 in Cell Phone Replacement Batteries', 'Is Discontinued By Manufacturer': 'No', 'OS': 'Any', 'Other display features': 'Wireless', 'Colour': 'Black', 'Included Components': 'Battery', 'Manufacturer': 'Anker', 'Date First Available': 'February 26, 2013'}",4.3 out of 5 stars,22112
Mobile,"ELECJET PowerPie 20000mAh USB C PD 45W Laptop Power Bank, [Super Fast Charging 2.0] PPS Battery Pack for Samsung Note 10 plus/S20 Ultra/Note 20, Portable Charger External Battery for MacBook Pro/Air",$49.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0948065262L03QX8HWK7&url=%2FELECJET-PowerPie-20000mAh-External-Nintendo%2Fdp%2FB07YLFX8DT%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3DAnker%2Bpower%2Bbank%26qid%3D1619353386%26sr%3D8-11-spons%26psc%3D1&qualifier=1619353386&id=8732847012677326&widgetName=sp_mtf,"{'Brand': 'ELECJET', 'Item Weight': '13.8 ounces', 'Item Dimensions LxWxH': '6.1 x 2.76 x 0.97 inches', 'Product Dimensions': '6.1 x 2.76 x 0.97 inches', 'Manufacturer': 'ELECJET', 'ASIN': 'B07YLFX8DT', 'Item model number': 'PowerPie', 'Batteries': '2 Lithium Polymer batteries required. (included)', 'Customer Reviews': '4.7 out of 5 stars\n\n\n\n\n\n\n\n\n577 ratings\n\n\n\n\n\n\n4.7 out of 5 stars', 'Best Sellers Rank': '#15,925 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)\n\n#331 in Cell Phone Portable Power Banks\n\n#413 in Cell Phone Replacement Batteries'}",4.7 out of 5 stars,577
Mobile,"Anker PowerCore III 5000mAh MFi Certified Portable Charger with Built-in Lightning Cable, Ultra Slim Power Bank for iPhone XR, iPhone 11, and iPhone 11 Pro, and More",$39.99,https://www.amazon.com//Anker-PowerCore-Certified-Portable-Lightning/dp/B0832VKBFJ/ref=sr_1_12?dchild=1&keywords=Anker+power+bank&qid=1619353386&sr=8-12,"{'Color': 'Black', 'Brand': 'Anker', 'Connector Type': 'Lightning', 'Battery Capacity': '5000 Milliamp Hours', 'Item Dimensions LxWxH': '4.88 x 2.58 x 0.29 inches', 'Battery Cell Composition': 'Lithium Polymer', 'Product Dimensions': '4.88 x 2.58 x 0.29 inches', 'Item Weight': '5.6 ounces', 'ASIN': 'B0832VKBFJ', 'Item model number': 'A1219', 'Batteries': '1 Lithium Polymer batteries required. (included)', 'Customer Reviews': '4.6 out of 5 stars\n\n\n\n\n\n\n\n\n249 ratings\n\n\n\n\n\n\n4.6 out of 5 stars', 'Best Sellers Rank': '#13,315 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)\n\n#291 in Cell Phone Portable Power Banks\n\n#348 in Cell Phone Replacement Batteries', 'Other display features': 'Wireless', 'Colour': 'Black', 'Included Components': 'Portable Charger 5K', 'Manufacturer': 'Anker', 'Date First Available': 'December 24, 2019'}",4.6 out of 5 stars,249
